r_def,cd_a,cve_ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,eda,n_inf,p1,p1a1,p1a2,p1a3,p1b,p1c,p1d,p1e,p2_1,p2_2,p2_3,p2_4,p2_9,p2a_dia,p2a_sem,p2a_mes,p2a_anio,p2b_dia,p2b_sem,p2b_mes,p2b_anio,p2b,p2c,p2d1,p2d2,p2d3,p2d4,p2d5,p2d6,p2d7,p2d8,p2d9,p2d10,p2d11,p2d99,p2e,p2f,p2g1,p2g2,p2h1,p2h2,p2h3,p2h4,p2h9,p2i,p2j,p2k_anio,p2k_mes,p2k,p3,p3a,p3b,p3c1,p3c2,p3c3,p3c4,p3c9,p3d,p3e,p3f1,p3f2,p3g1_1,p3g1_2,p3g2_1,p3g2_2,p3g3_1,p3g3_2,p3g4_1,p3g4_2,p3g9,p3g_tot,p3h,p3i,p3j1,p3j2,p3k1,p3k2,p3k3,p3k4,p3k5,p3k9,p3l,p4,p4_1,p4_2,p4_3,p4a,p4a_1,p4b,p4c,p4d1,p4d2,p4d3,p4e,p4f,p4g,p4h,p4i,p4i_1,p5,p5a,p5b_hlu,p5b_mlu,p5b_hma,p5b_mma,p5b_hmi,p5b_mmi,p5b_hju,p5b_mju,p5b_hvi,p5b_mvi,p5b_hsa,p5b_msa,p5b_hdo,p5b_mdo,p5b_thrs,p5b_tdia,p5c,p5d1,p5d_hlu,p5d_mlu,p5d_hma,p5d_mma,p5d_hmi,p5d_mmi,p5d_hju,p5d_mju,p5d_hvi,p5d_mvi,p5d_hsa,p5d_msa,p5d_hdo,p5d_mdo,p5d_thrs,p5d_tdia,p5e,p5f1,p5f2,p5f3,p5f4,p5f5,p5f6,p5f7,p5f8,p5f9,p5f10,p5f11,p5f12,p5f13,p5f14,p5f15,p5f99,ur,tipo,mes_cal,fac_tri,fac_men,cve_mun,cvegeo
00,03,19,40017,1907471,307,0065,03,1,0,1,425,03,19,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,6,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,11,738,2304,031,19031
00,03,19,40017,1907471,307,0065,03,1,0,1,425,04,16,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,11,738,2304,031,19031
00,03,19,40018,1907649,311,0075,03,1,0,1,425,01,64,01,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,2,1,1,07,1,2, , , ,3, ,2025,08,1,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,303,997,031,19031
00,03,19,40018,1907649,311,0075,03,1,0,1,425,02,41,01,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,8342,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,9, , ,1,2, , , , ,99,1, , ,2,4850,1,4,2, , ,3, ,, ,1,3,3,3, ,00,00,10,00,10,00,10,00,10,00,10,00,10,00,060,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,15,,1,1,12,303,997,031,19031
00,03,19,40019,1907790,310,0003,01,1,0,1,425,01,33,01,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2646,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,11,1, , ,2,3360,1,4,2, , ,3, ,, ,1,1,3,3, ,08,00,00,00,08,00,08,00,08,00,00,00,00,00,032,4,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,620,2037,031,19031
00,03,19,40019,1907790,310,0003,01,1,0,1,425,02,32,01,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,2, ,2023,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,620,2037,031,19031
00,03,19,40033,1902064,309,0087,03,1,0,1,425,02,40,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,8212,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,10,1, , ,2,3350,1,4,2, , ,3, ,, ,1,1,3,3, ,08,00,08,00,08,00,08,00,08,00,00,00,00,00,040,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,11,415,1438,010,19010
00,03,19,40033,1902064,309,0087,03,1,0,1,425,01,42,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,9233,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,11,1, , ,2,3380,1,4,2, , ,3, ,, ,1,1,3,3, ,12,00,12,00,12,00,12,00,00,00,00,00,00,00,048,4,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,11,415,1438,010,19010
00,03,19,40037,1907156,313,0021,01,1,0,1,425,01,49,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,7212,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , ,1,2, , , , ,03,1, , , ,3320,1,4,1, , , ,3,,3, , , ,3, ,08,00,08,00,08,00,08,00,08,00,08,00,00,00,048,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,428,1317,031,19031
00,03,19,40037,1907156,313,0021,01,1,0,1,425,02,48,02,2, , ,3,1,08,2,2, , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,1, , ,, , , , , , , ,2025,12,1,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,428,1317,031,19031
00,03,19,40038,1906123,304,0028,03,1,0,1,425,03,15,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,9231,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , , , , , ,5, ,02,2, , , ,8111,1,4,1, , , ,4,06,4, , , ,3, ,00,00,00,00,00,00,00,00,06,00,06,00,00,00,012,2,2,2,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,579,1799,026,19026
00,03,19,40038,1906123,304,0028,03,1,0,1,425,04,14,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,9231,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , , , , , ,5, ,02,2, , , ,8111,1,4,1, , , ,4,07,4, , , ,3, ,00,00,00,00,00,00,00,00,06,00,06,00,00,00,012,2,2,2,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,579,1799,026,19026
00,03,19,40039,1907486,303,0010,01,1,0,1,425,03,25,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2633,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,09,1, , ,2,3340,1,4,2, , ,3, ,, ,1,2,3,3, ,08,00,08,00,08,00,08,00,08,00,08,00,00,00,048,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,554,1720,031,19031
00,03,19,40039,1907486,303,0010,01,1,0,1,425,04,22,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,554,1720,031,19031
00,03,19,40037,1907156,313,0021,01,1,0,1,425,03,18,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,428,1317,031,19031
00,03,19,40037,1907156,313,0021,01,1,0,1,425,04,16,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,428,1317,031,19031
00,03,19,40038,1906123,304,0028,03,1,0,1,425,01,42,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2632,2,1, , ,3, , ,1,1,1,,1,003, ,, ,, ,, ,003, , , , , , , , , , ,,2, , , ,8111,1,4,1, , , ,4,06,4, , , ,3, ,08,00,08,00,08,00,08,00,08,00,08,00,00,00,048,6,2,2,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,579,1799,026,19026
00,03,19,40038,1906123,304,0028,03,1,0,1,425,02,36,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,2, ,2009,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,579,1799,026,19026
00,03,19,40039,1907486,303,0010,01,1,0,1,425,01,48,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,8171,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,08,1, , ,2,3270,1,4,2, , ,3, ,, ,1,2,3,3, ,08,00,08,00,08,00,08,00,08,00,08,00,00,00,048,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,554,1720,031,19031
00,03,19,40039,1907486,303,0010,01,1,0,1,425,02,52,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,2, ,2018,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,554,1720,031,19031
00,03,19,40039,1907486,303,0076,04,1,0,1,425,01,54,01,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,4111,2,1, , ,3, , ,2, , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,,1, , , ,4631,1,4,1, , , ,3,,2, , , ,3, ,06,00,06,00,06,00,06,00,06,00,06,00,00,00,036,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,554,1720,031,19031
00,03,19,40039,1907486,303,0076,04,1,0,1,425,02,75,01,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,2, ,1981,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,554,1720,031,19031
00,03,19,40039,1907486,303,0076,04,1,0,1,425,04,26,01,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,1,1,12,1, , , , ,2, ,2023,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,554,1720,031,19031
00,03,19,40044,1900695,311,0097,05,1,0,1,425,01,37,01,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2637,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , ,1,2, , , , ,02,2, , , ,8112,1,4,1, , , ,4,08,3, , , ,3, ,06,00,06,00,00,00,00,00,06,00,06,00,00,00,024,4,2,2,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,569,1755,006,19006
00,03,19,40044,1900695,311,0097,05,1,0,1,425,02,16,01,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,,1, , , , ,2, ,2024,07,2,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,569,1755,006,19006
00,03,19,40045,1900841,310,0023,01,1,0,1,425,02,36,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,1,2,2016,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,12,540,1666,006,19006
00,03,19,40044,1900695,311,0097,05,1,0,1,425,03,19,01,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,5212,2,1, , ,3, , ,2, , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,,2, , , ,8121,2,4,1, , , ,4,06,4, , , ,3, ,10,00,10,00,10,00,10,00,10,00,00,00,00,00,050,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,569,1755,006,19006
00,03,19,40045,1900841,310,0023,01,1,0,1,425,01,40,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,3132,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,07,1,2,1, ,6221,1,2, ,2,1,2, ,, , , , ,3, ,08,00,08,00,08,00,08,00,08,00,08,00,00,00,048,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,12,540,1666,006,19006
00,03,19,40051,1904470,304,0060,01,1,0,1,425,01,68,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,2,3, ,,1, , , , ,4, ,2017,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,708,2119,021,19021
00,03,19,40052,1904609,303,0032,04,1,0,1,425,02,43,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1, , , , ,2, ,2019,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,559,1673,021,19021
00,03,19,40055,1905624,305,0047,03,1,0,1,425,01,29,01,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2811,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2, , , , ,11,1,2,1, ,6131,1,2, ,2,1,1, ,, , , , ,3, ,08,00,08,00,08,00,08,00,08,00,00,00,00,00,040,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,594,1778,026,19026
00,03,19,40051,1904470,304,0060,01,1,0,1,425,02,67,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,, , , ,4, , , ,,, ,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,708,2119,021,19021
00,03,19,40052,1904609,303,0032,04,1,0,1,425,01,46,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2634,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,11,1, , ,2,3110,1,4,2, , ,3, ,, ,1,1,3,3, ,00,00,00,00,00,00,10,00,10,00,10,08,10,00,040,4,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,559,1673,021,19021
00,03,19,40052,1904609,303,0032,04,1,0,1,425,03,23,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,9711,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,99,1, , ,2,4920,1,4,2, , ,3, ,, ,1,2,3,3, ,00,00,08,00,08,00,08,00,08,00,08,00,00,00,040,5,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,10,559,1673,021,19021
00,03,19,40052,1904609,303,0032,04,1,0,1,425,04,16,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,5111,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,2, , , , , , ,5, ,02,1, , , ,7221,1,4,1, , , ,3,,4, , , ,3, ,00,00,00,00,00,00,00,00,08,00,08,00,08,00,024,3,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,15,,1,1,10,559,1673,021,19021
00,03,19,40052,1904609,303,0032,04,1,0,1,425,05,15,01,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,3,3, ,,1, , , , ,2, ,2025,08,1,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,10,559,1673,021,19021
00,03,19,40053,1904684,301,0059,03,1,0,1,425,01,46,02,1, , , , ,, , , , , , , ,, ,,,, ,,, , ,,,,,,,,,,,,, , , ,, , , , , , , ,,, ,2633,1, , , , , , , , , ,, ,, ,, ,, ,, ,,1,1,2, ,1,2,3, , , ,06,1, , ,2,4850,1,4,2, , ,3, ,, ,1,3,3,3, ,08,00,08,00,08,00,08,00,08,00,05,00,00,00,045,6,1, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,14,,,1,1,99,607,0,021,19021
00,03,19,40053,1904684,301,0059,03,1,0,1,425,02,39,02,2, , ,3,2,, , , , , ,4, ,, ,,,, ,,, , ,,,,,,,,,,,,,4,3, ,,1,2, , , ,3, ,2020,,3,, , , , , , , , , , ,, ,, ,, ,, ,, ,, , , , , , , , , , ,, , , , ,, , , , , , , ,, , , , , , ,,,,,,,,,,,,,,,, , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,1,1,99,607,0,021,19021
