id_registro,id_persona,año,trimestre,mes,estatus_laboral,sector_economico,tipo_empresa,tamanio_empresa,tipo_contrato,antiguedad_laboral_anios,ingresos_mensuales_mxn,ingresos_no_laborales_mxn,horas_trabajadas_semana,tipo_jornada,sindicalizado,prestaciones_sociales,seguro_imss,busca_empleo,recibe_capacitacion,causa_no_trabaja
16,4,2026,Q1,Marzo,Desempleado,Secundario,,,Sin contrato,0,0,1900,0,,No,No,No,Sí,Sí,No encontró trabajo
17,5,2023,Q1,Febrero,Empleado,Terciario,Pública,Micro (1-10),Indefinido,8,38800,4800,37,Completa,Sí,No,No,No,No,
18,5,2024,Q1,Enero,Empleado,Primario,Privada,Micro (1-10),Indefinido,11,26300,4900,53,Completa,No,Sí,Sí,No,Sí,
19,5,2025,Q1,Enero,Desempleado,Terciario,,,Sin contrato,0,0,3100,0,,No,No,No,Sí,No,Estudia
20,5,2026,Q1,Marzo,Empleado,Secundario,Privada,Pequeña (11-50),Indefinido,10,18700,700,55,Variable,No,Sí,Sí,No,No,
21,6,2023,Q1,Enero,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,3,22600,3000,46,Completa,No,No,No,No,Sí,
22,6,2024,Q1,Enero,Estudiante,,,,Sin contrato,0,0,1900,0,,No,No,Sí,Sí,No,Estudia
23,6,2025,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Indefinido,0,25000,4700,53,Completa,No,No,No,No,No,
24,6,2026,Q1,Enero,Desempleado,Primario,,,Sin contrato,0,0,4100,0,,No,No,No,Sí,Sí,Otra
25,7,2023,Q1,Febrero,Empleado,Secundario,Familiar,Pequeña (11-50),Indefinido,0,59400,2900,38,Completa,No,Sí,Sí,No,No,
26,7,2024,Q1,Enero,Empleado,Secundario,Pública,Micro (1-10),Indefinido,0,42200,5600,55,Variable,No,Sí,Sí,No,No,
27,7,2025,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Indefinido,4,14600,2900,38,Variable,No,Sí,No,No,No,
28,7,2026,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,0,29600,1500,39,Completa,No,Sí,Sí,Sí,No,
29,8,2023,Q1,Marzo,Empleado,Terciario,Pública,Micro (1-10),Indefinido,5,20100,700,45,Completa,No,No,No,No,No,
30,8,2024,Q1,Febrero,Empleado,Terciario,Privada,Grande (250+),Temporal,4,7600,2800,49,Completa,No,No,No,No,Sí,
31,8,2025,Q1,Enero,Empleado,Secundario,Pública,Mediana (51-250),Temporal,7,12000,4000,49,Completa,No,Sí,Sí,No,No,
32,8,2026,Q1,Febrero,Empleado,Secundario,Privada,Micro (1-10),Temporal,1,18300,2000,43,Parcial,No,No,No,No,No,
33,9,2023,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,1700,0,,No,No,No,No,Sí,Estudia
34,9,2024,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,2200,0,,No,No,No,No,Sí,Estudia
35,9,2025,Q1,Febrero,Empleado,Secundario,Privada,Micro (1-10),Por obra,0,12700,1100,51,Nocturna,No,No,No,No,No,
36,9,2026,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Temporal,3,13100,4900,43,Completa,No,Sí,Sí,No,No,
37,10,2023,Q1,Marzo,Estudiante,,,,Sin contrato,0,0,2400,0,,No,No,No,No,No,Estudia
38,10,2024,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,7,21600,500,36,Completa,No,Sí,No,No,No,
39,10,2025,Q1,Marzo,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,7,19700,5000,50,Completa,No,No,No,No,No,
40,10,2026,Q1,Enero,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,0,19000,800,47,Completa,Sí,Sí,Sí,No,Sí,
41,11,2023,Q1,Marzo,Desempleado,Terciario,,,Sin contrato,0,0,2800,0,,No,No,No,Sí,No,No encontró trabajo
42,11,2024,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,0,28600,1900,60,Variable,No,No,No,No,Sí,
43,11,2025,Q1,Enero,Empleado,Terciario,Familiar,Grande (250+),Indefinido,2,52000,4700,52,Parcial,No,Sí,No,No,No,
44,11,2026,Q1,Marzo,Estudiante,,,,Sin contrato,0,1300,1100,19,Parcial,No,No,No,Sí,Sí,Estudia
45,12,2023,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Pequeña (11-50),Sin contrato,2,22800,2000,52,Variable,No,No,No,No,Sí,
46,12,2024,Q1,Febrero,Inactivo,,,,Sin contrato,0,0,1900,0,,No,No,No,No,No,Otra
47,12,2025,Q1,Febrero,Emprendedor,Secundario,Por cuenta propia,Micro (1-10),Temporal,0,20500,1200,36,Parcial,No,No,Sí,No,No,
48,12,2026,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Temporal,2,15100,2200,42,Completa,Sí,No,No,No,No,
49,13,2023,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,2,42300,4000,32,Variable,No,No,No,No,No,
50,13,2024,Q1,Marzo,Desempleado,Terciario,,,Sin contrato,0,0,2400,0,,No,No,No,Sí,No,Labores del hogar
51,13,2025,Q1,Marzo,Empleado,Terciario,Por cuenta propia,Grande (250+),Por obra,3,18200,4500,46,Variable,No,Sí,Sí,No,No,
52,13,2026,Q1,Marzo,Empleado,Terciario,Privada,Grande (250+),Temporal,4,9300,3900,40,Completa,No,Sí,Sí,No,No,
53,14,2023,Q1,Marzo,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,5,37400,200,48,Completa,No,Sí,Sí,No,No,
54,14,2024,Q1,Febrero,Empleado,Terciario,Privada,Grande (250+),Por obra,5,21100,800,55,Completa,No,Sí,Sí,No,No,
55,14,2025,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,3,18500,800,54,Variable,No,No,Sí,No,Sí,
56,14,2026,Q1,Marzo,Empleado,Terciario,Familiar,Micro (1-10),Indefinido,5,16000,2400,45,Parcial,No,No,No,No,Sí,
57,15,2023,Q1,Febrero,Empleado,Terciario,Familiar,Pequeña (11-50),Temporal,2,15100,2700,39,Completa,Sí,Sí,Sí,No,No,
58,15,2024,Q1,Febrero,Empleado,Terciario,Privada,Grande (250+),Temporal,3,10100,2900,43,Completa,No,Sí,Sí,No,No,
59,15,2025,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,7,23600,3700,52,Completa,No,Sí,Sí,No,No,
60,15,2026,Q1,Febrero,Empleado,Secundario,Por cuenta propia,Micro (1-10),Indefinido,7,17000,1900,48,Variable,Sí,Sí,Sí,No,No,
61,16,2023,Q1,Enero,Empleado,Terciario,Privada,Pequeña (11-50),Temporal,8,15100,4900,53,Completa,No,Sí,Sí,No,No,
62,16,2024,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,900,0,,No,No,No,No,Sí,Estudia
63,16,2025,Q1,Marzo,Empleado,Secundario,Privada,Micro (1-10),Indefinido,10,16200,1500,35,Completa,No,Sí,Sí,No,No,
64,16,2026,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Indefinido,2,30800,1800,53,Completa,No,Sí,Sí,No,No,
65,17,2023,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,4,27300,800,57,Completa,No,No,No,No,No,
66,17,2024,Q1,Enero,Empleado,Terciario,Privada,Micro (1-10),Indefinido,2,27200,2000,42,Parcial,No,Sí,Sí,No,Sí,
67,17,2025,Q1,Febrero,Emprendedor,Secundario,Por cuenta propia,Micro (1-10),Sin contrato,10,14100,400,45,Variable,No,No,No,No,Sí,
68,17,2026,Q1,Marzo,Empleado,Terciario,Por cuenta propia,Mediana (51-250),Temporal,2,15500,5600,45,Completa,No,Sí,Sí,No,No,
69,18,2023,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,5,33300,4500,44,Parcial,No,Sí,No,No,Sí,
70,18,2024,Q1,Febrero,Empleado,Secundario,Privada,Pequeña (11-50),Indefinido,2,12700,3200,41,Parcial,No,Sí,Sí,No,No,
71,18,2025,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Temporal,6,14800,3100,54,Completa,No,No,No,No,No,
72,18,2026,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,4,24700,1600,40,Completa,No,No,No,No,Sí,
73,19,2023,Q1,Febrero,Empleado,Terciario,Por cuenta propia,Mediana (51-250),Por obra,0,13600,3100,52,Completa,No,No,No,No,No,
74,19,2024,Q1,Febrero,Empleado,Terciario,Pública,Micro (1-10),Temporal,8,15600,5100,39,Completa,No,Sí,Sí,No,Sí,
75,19,2025,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Pequeña (11-50),Sin contrato,8,21400,4500,39,Completa,No,No,Sí,No,Sí,
76,19,2026,Q1,Febrero,Empleado,Terciario,Privada,Pequeña (11-50),Temporal,9,8900,1200,43,Completa,No,Sí,Sí,No,No,
77,20,2023,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,3,20200,1200,46,Completa,No,No,No,No,No,
78,20,2024,Q1,Marzo,Empleado,Terciario,Privada,Grande (250+),Indefinido,1,26100,2600,52,Completa,No,No,No,No,No,
79,20,2025,Q1,Enero,Empleado,Primario,Privada,Mediana (51-250),Por obra,8,13700,5700,53,Completa,Sí,Sí,Sí,No,No,
80,20,2026,Q1,Marzo,Inactivo,,,,Sin contrato,0,0,3800,0,,No,No,No,No,No,Labores del hogar
81,21,2023,Q1,Enero,Estudiante,,,,Sin contrato,0,0,3200,0,,No,No,No,No,No,Estudia
82,21,2024,Q1,Enero,Empleado,Terciario,Por cuenta propia,Micro (1-10),Temporal,0,21800,4300,43,Completa,No,Sí,Sí,No,No,
83,21,2025,Q1,Enero,Empleado,Secundario,Pública,Pequeña (11-50),Indefinido,1,35000,4700,46,Completa,No,Sí,Sí,No,No,
84,21,2026,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Indefinido,0,9700,1900,41,Completa,Sí,No,No,No,Sí,
85,22,2023,Q1,Marzo,Empleado,Secundario,Privada,Mediana (51-250),Temporal,9,11700,1400,35,Completa,Sí,No,No,No,No,
86,22,2024,Q1,Marzo,Empleado,Terciario,Familiar,Pequeña (11-50),Indefinido,2,14700,300,45,Completa,No,No,No,No,No,
87,22,2025,Q1,Enero,Empleado,Terciario,Por cuenta propia,Micro (1-10),Temporal,7,14200,1800,39,Completa,No,Sí,Sí,No,No,
88,22,2026,Q1,Marzo,Empleado,Terciario,Por cuenta propia,Pequeña (11-50),Indefinido,1,47100,3500,35,Completa,No,No,No,No,Sí,
89,23,2023,Q1,Marzo,Empleado,Secundario,Por cuenta propia,Mediana (51-250),Indefinido,5,16000,1500,40,Completa,No,No,No,No,No,
90,23,2024,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,11,25600,6600,37,Completa,Sí,Sí,No,No,No,
91,23,2025,Q1,Febrero,Empleado,Terciario,Privada,Grande (250+),Indefinido,4,50700,3300,52,Completa,No,Sí,Sí,No,No,
92,23,2026,Q1,Enero,Inactivo,,,,Sin contrato,0,0,1700,0,,No,No,Sí,No,No,Problemas de salud
93,24,2023,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,2,23000,6700,54,Variable,No,No,No,No,No,
94,24,2024,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Pequeña (11-50),Temporal,1,22700,1000,39,Variable,No,Sí,No,No,No,
95,24,2025,Q1,Enero,Estudiante,,,,Sin contrato,0,0,800,0,,No,No,No,No,No,Estudia
96,24,2026,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,5,53100,600,50,Completa,No,Sí,Sí,No,No,
97,25,2023,Q1,Marzo,Emprendedor,Secundario,Por cuenta propia,Micro (1-10),Sin contrato,3,31000,200,37,Variable,No,Sí,No,No,Sí,
98,25,2024,Q1,Febrero,Empleado,Secundario,Privada,Micro (1-10),Indefinido,0,29300,3300,46,Completa,No,No,No,No,No,
99,25,2025,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Indefinido,11,33400,2500,65,Variable,No,No,No,Sí,No,
100,25,2026,Q1,Febrero,Empleado,Terciario,Pública,Grande (250+),Temporal,2,17400,2600,38,Variable,No,No,No,No,No,
101,26,2023,Q1,Marzo,Desempleado,Primario,,,Sin contrato,0,0,1800,0,,No,No,No,Sí,No,Problemas de salud
102,26,2024,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Indefinido,10,29200,6000,51,Completa,No,No,No,No,No,
103,26,2025,Q1,Febrero,Empleado,Terciario,Privada,Grande (250+),Indefinido,10,28700,800,53,Variable,No,Sí,Sí,No,No,
104,26,2026,Q1,Marzo,Empleado,Terciario,Pública,Mediana (51-250),Indefinido,11,20600,2400,42,Completa,No,No,No,No,Sí,
105,27,2023,Q1,Febrero,Inactivo,,,,Sin contrato,0,0,2400,0,,No,No,Sí,No,No,Problemas de salud
106,27,2024,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,2,32700,3000,48,Completa,No,Sí,Sí,No,Sí,
107,27,2025,Q1,Febrero,Empleado,Terciario,Pública,Micro (1-10),Temporal,3,25200,1200,44,Completa,No,No,No,No,Sí,
108,27,2026,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,0,39000,2100,52,Completa,No,No,Sí,No,No,
109,28,2023,Q1,Marzo,Empleado,Terciario,Privada,Grande (250+),Indefinido,0,42100,4100,45,Completa,No,Sí,Sí,No,No,
110,28,2024,Q1,Marzo,Empleado,Secundario,Por cuenta propia,Pequeña (11-50),Indefinido,8,51800,1400,48,Variable,No,Sí,Sí,No,No,
111,28,2025,Q1,Marzo,Empleado,Primario,Privada,Mediana (51-250),Indefinido,7,25300,900,51,Completa,No,No,No,No,Sí,
112,28,2026,Q1,Febrero,Empleado,Secundario,Familiar,Micro (1-10),Indefinido,5,27000,800,44,Completa,Sí,No,No,No,Sí,
113,29,2023,Q1,Febrero,Empleado,Primario,Pública,Pequeña (11-50),Indefinido,0,12900,2100,49,Variable,No,Sí,Sí,No,No,
114,29,2024,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,700,0,,No,No,No,No,No,Estudia
115,29,2025,Q1,Enero,Empleado,Secundario,Pública,Pequeña (11-50),Indefinido,0,17800,500,37,Completa,No,Sí,Sí,No,Sí,
116,29,2026,Q1,Febrero,Empleado,Secundario,Privada,Grande (250+),Indefinido,1,13500,1000,49,Completa,No,No,No,No,Sí,
117,30,2023,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,2400,0,,No,No,No,No,No,Estudia
118,30,2024,Q1,Enero,Empleado,Secundario,Privada,Grande (250+),Por obra,2,11500,4200,38,Nocturna,No,Sí,Sí,No,Sí,
119,30,2025,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,2,21800,500,39,Completa,No,No,Sí,No,No,
120,30,2026,Q1,Enero,Empleado,Terciario,Pública,Pequeña (11-50),Temporal,0,8400,2800,37,Completa,Sí,Sí,Sí,No,Sí,
121,31,2023,Q1,Marzo,Estudiante,,,,Sin contrato,0,0,4100,0,,No,No,No,No,Sí,Estudia
122,31,2024,Q1,Marzo,Estudiante,,,,Sin contrato,0,0,2400,0,,No,No,No,No,No,Estudia
123,31,2025,Q1,Febrero,Emprendedor,Secundario,Por cuenta propia,Micro (1-10),Indefinido,0,22800,2700,52,Variable,No,No,No,No,No,
124,31,2026,Q1,Marzo,Empleado,Terciario,Pública,Mediana (51-250),Por obra,2,11500,500,46,Completa,No,Sí,Sí,No,No,
125,32,2023,Q1,Febrero,Empleado,Terciario,Por cuenta propia,Grande (250+),Indefinido,3,52300,1100,46,Completa,No,Sí,Sí,No,Sí,
126,32,2024,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,7,51400,2500,52,Variable,No,No,No,No,Sí,
127,32,2025,Q1,Enero,Estudiante,,,,Sin contrato,0,0,2000,0,,No,No,No,No,No,Estudia
128,32,2026,Q1,Febrero,Empleado,Terciario,Privada,Mediana (51-250),Indefinido,5,21300,500,47,Parcial,No,Sí,Sí,No,No,
129,33,2023,Q1,Marzo,Inactivo,,,,Sin contrato,0,0,3800,0,,No,No,Sí,No,No,Otra
130,33,2024,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,900,0,,No,No,Sí,Sí,Sí,Estudia
131,33,2025,Q1,Febrero,Desempleado,Primario,,,Sin contrato,0,0,1800,0,,No,No,No,Sí,No,Labores del hogar
132,33,2026,Q1,Marzo,Empleado,Terciario,Familiar,Grande (250+),Indefinido,1,52500,1900,38,Completa,No,Sí,Sí,No,No,
133,34,2023,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,2300,0,,No,No,No,No,No,Estudia
134,34,2024,Q1,Febrero,Estudiante,,,,Sin contrato,0,0,1100,0,,No,No,Sí,No,No,Estudia
135,34,2025,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Indefinido,0,17800,1500,45,Variable,No,Sí,Sí,No,No,
136,34,2026,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,2,36600,5500,43,Completa,No,No,Sí,Sí,No,
137,35,2023,Q1,Enero,Empleado,Terciario,Pública,Grande (250+),Indefinido,3,29800,1900,52,Completa,No,No,No,No,No,
138,35,2024,Q1,Febrero,Empleado,Secundario,Por cuenta propia,Pequeña (11-50),Indefinido,4,28900,3500,55,Variable,No,Sí,Sí,No,Sí,
139,35,2025,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,4,44400,6400,44,Parcial,No,No,No,No,No,
140,35,2026,Q1,Febrero,Empleado,Secundario,Privada,Micro (1-10),Temporal,4,12000,3700,52,Variable,No,Sí,Sí,No,No,
141,36,2023,Q1,Enero,Empleado,Primario,Privada,Pequeña (11-50),Indefinido,0,24900,4300,53,Completa,No,Sí,Sí,No,No,
142,36,2024,Q1,Febrero,Emprendedor,Secundario,Por cuenta propia,Micro (1-10),Temporal,1,20600,5400,57,Completa,No,Sí,No,No,Sí,
143,36,2025,Q1,Marzo,Empleado,Terciario,Privada,Grande (250+),Indefinido,2,35200,1500,47,Completa,No,Sí,Sí,No,No,
144,36,2026,Q1,Marzo,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,8,19200,4600,46,Completa,No,No,No,No,Sí,
145,37,2023,Q1,Marzo,Estudiante,,,,Sin contrato,0,0,1100,0,,No,No,No,No,Sí,Estudia
146,37,2024,Q1,Febrero,Estudiante,,,,Sin contrato,0,1600,3000,6,Parcial,No,No,No,No,No,Estudia
147,37,2025,Q1,Febrero,Empleado,Secundario,Privada,Pequeña (11-50),Temporal,2,11400,3300,54,Completa,No,Sí,No,No,No,
148,37,2026,Q1,Enero,Estudiante,,,,Sin contrato,0,0,800,0,,No,No,No,No,No,Estudia
149,38,2023,Q1,Febrero,Empleado,Secundario,Por cuenta propia,Mediana (51-250),Temporal,0,21100,400,53,Completa,No,Sí,Sí,No,No,
150,38,2024,Q1,Marzo,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,0,40500,2200,39,Completa,No,No,No,No,No,
151,38,2025,Q1,Febrero,Empleado,Terciario,Pública,Micro (1-10),Temporal,5,16600,2900,52,Completa,No,Sí,No,No,No,
152,38,2026,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Temporal,2,37200,4700,62,Variable,No,No,No,No,No,
153,39,2023,Q1,Marzo,Estudiante,,,,Sin contrato,0,0,2900,0,,No,No,No,Sí,No,Estudia
154,39,2024,Q1,Febrero,Inactivo,,,,Sin contrato,0,0,2600,0,,No,No,No,No,No,Labores del hogar
155,39,2025,Q1,Febrero,Empleado,Secundario,Privada,Micro (1-10),Temporal,3,15900,6400,41,Variable,No,Sí,Sí,No,Sí,
156,39,2026,Q1,Febrero,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,2,9700,900,52,Completa,No,Sí,No,No,Sí,
157,40,2023,Q1,Enero,Empleado,Terciario,Pública,Micro (1-10),Indefinido,5,14600,900,55,Completa,No,Sí,Sí,No,No,
158,40,2024,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,2,33300,700,38,Variable,No,No,No,No,No,
159,40,2025,Q1,Marzo,Empleado,Terciario,Privada,Grande (250+),Indefinido,5,12600,2900,37,Completa,No,Sí,Sí,No,No,
160,40,2026,Q1,Febrero,Empleado,Terciario,Familiar,Mediana (51-250),Indefinido,6,30200,500,36,Completa,No,Sí,Sí,No,No,
161,41,2023,Q1,Enero,Empleado,Secundario,Privada,Micro (1-10),Temporal,4,22100,1300,46,Parcial,Sí,No,No,No,No,
162,41,2024,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Sin contrato,2,35700,4200,57,Variable,No,No,Sí,No,No,
163,41,2025,Q1,Enero,Empleado,Terciario,Privada,Mediana (51-250),Temporal,6,14500,1800,46,Completa,No,Sí,Sí,No,No,
164,41,2026,Q1,Enero,Empleado,Secundario,Privada,Mediana (51-250),Indefinido,3,44500,5200,40,Completa,No,Sí,Sí,No,No,
165,42,2023,Q1,Enero,Emprendedor,Terciario,Por cuenta propia,Pequeña (11-50),Indefinido,0,22800,800,57,Parcial,No,No,No,No,Sí,
166,42,2024,Q1,Febrero,Empleado,Terciario,Privada,Micro (1-10),Indefinido,5,31200,5100,51,Completa,No,Sí,Sí,No,No,
167,42,2025,Q1,Marzo,Empleado,Terciario,Privada,Mediana (51-250),Temporal,0,18800,5200,49,Completa,No,Sí,No,No,No,
168,42,2026,Q1,Marzo,Empleado,Secundario,Privada,Mediana (51-250),Indefinido,5,35000,2400,51,Completa,No,Sí,Sí,No,No,
169,43,2023,Q1,Enero,Empleado,Terciario,Privada,Micro (1-10),Por obra,8,13000,3200,36,Completa,No,Sí,Sí,No,No,
170,43,2024,Q1,Marzo,Empleado,Terciario,Pública,Pequeña (11-50),Temporal,9,13900,4200,40,Completa,No,No,No,No,No,
171,43,2025,Q1,Enero,Empleado,Terciario,Privada,Grande (250+),Indefinido,10,25700,4200,37,Completa,No,No,No,No,No,
172,43,2026,Q1,Enero,Empleado,Terciario,Privada,Grande (250+),Por obra,2,12100,4300,48,Variable,No,No,No,No,No,
173,44,2023,Q1,Enero,Empleado,Secundario,Privada,Grande (250+),Indefinido,2,20000,1200,40,Completa,No,Sí,Sí,No,Sí,
174,44,2024,Q1,Marzo,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,1,32600,3100,42,Completa,No,Sí,Sí,No,No,
175,44,2025,Q1,Enero,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,4,27900,1500,42,Completa,No,Sí,Sí,No,No,
176,44,2026,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Por obra,0,13500,1700,38,Variable,No,Sí,Sí,No,No,
177,45,2023,Q1,Febrero,Emprendedor,Terciario,Por cuenta propia,Micro (1-10),Indefinido,2,17100,4600,32,Completa,No,No,Sí,No,Sí,
178,45,2024,Q1,Marzo,Empleado,Secundario,Privada,Pequeña (11-50),Indefinido,1,43000,5000,40,Completa,No,Sí,Sí,No,No,
179,45,2025,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Temporal,3,14300,3800,42,Completa,No,Sí,Sí,No,No,
180,45,2026,Q1,Febrero,Empleado,Secundario,Familiar,Pequeña (11-50),Temporal,4,14900,1100,50,Completa,No,No,No,No,No,
181,46,2023,Q1,Enero,Empleado,Terciario,Privada,Grande (250+),Por obra,5,13700,5000,40,Completa,Sí,Sí,Sí,No,No,
182,46,2024,Q1,Enero,Empleado,Primario,Privada,Pequeña (11-50),Temporal,6,13400,3000,46,Completa,No,No,No,No,No,
183,46,2025,Q1,Febrero,Desempleado,Primario,,,Sin contrato,0,0,2300,0,,No,No,No,Sí,No,Problemas de salud
184,46,2026,Q1,Marzo,Empleado,Secundario,Privada,Grande (250+),Temporal,6,12100,400,38,Completa,No,No,No,No,No,
185,47,2023,Q1,Marzo,Empleado,Terciario,Privada,Grande (250+),Temporal,0,18600,500,44,Variable,No,No,No,No,Sí,
186,47,2024,Q1,Marzo,Empleado,Terciario,Privada,Pequeña (11-50),Indefinido,2,45000,5600,46,Completa,No,Sí,Sí,No,No,
187,47,2025,Q1,Febrero,Empleado,Terciario,Privada,Grande (250+),Indefinido,0,24400,3200,44,Completa,Sí,Sí,Sí,No,Sí,
188,47,2026,Q1,Marzo,Estudiante,,,,Sin contrato,0,800,2000,17,Parcial,No,No,No,Sí,No,Estudia
189,48,2023,Q1,Marzo,Empleado,Secundario,Privada,Micro (1-10),Indefinido,2,17900,6900,47,Completa,No,Sí,Sí,No,No,
190,48,2024,Q1,Enero,Estudiante,,,,Sin contrato,0,0,3800,0,,No,No,No,No,No,Estudia
191,48,2025,Q1,Marzo,Empleado,Terciario,Privada,Micro (1-10),Indefinido,0,34100,3000,55,Variable,No,Sí,No,No,No,
192,48,2026,Q1,Enero,Empleado,Secundario,Por cuenta propia,Mediana (51-250),Temporal,0,23400,800,41,Completa,No,Sí,Sí,No,No,
