id_hogar,id_persona,año,ingreso_hogar_trimestral_mxn,saldo_cuenta_mxn,gastos_mensuales_mxn,deuda_actual_mxn,tipo_cuenta_bancaria,banco_principal,gasto_alimentacion_mxn,gasto_transporte_mxn,gasto_salud_mxn,gasto_educacion_mxn,gasto_entretenimiento_mxn,gasto_vivienda_mxn,tiene_seguro_medico,tiene_afore,ahorro_informal_mxn,tiene_credito_previo,tipo_credito,morosidad_historica,num_productos_financieros
70560,19,2024,44800,17900,13600,15900,Débito,BBVA,2000,1300,1900,2300,500,8100,No,Sí,4400,Sí,Hipotecario,No,2
19371,19,2025,129700,55800,17100,28100,Débito,BanBajío,4300,1500,800,2800,1200,6900,Sí,No,6900,No,Ninguno,No,3
54151,19,2026,33400,19900,6500,17100,Débito,Santander,2400,500,300,2700,1000,4100,No,Sí,9300,No,Ninguno,No,3
74217,20,2023,115200,26300,24500,22900,Ninguna,BBVA,2400,2900,400,600,2100,3000,No,Sí,11500,No,Ninguno,No,2
97770,20,2024,120000,55400,6000,15600,Ambas,HSBC,2100,1200,1300,400,1000,3400,Sí,No,5900,Sí,Ninguno,No,2
73607,20,2025,66300,16700,13300,15800,Débito,Banorte,4700,1000,1000,2800,900,4700,Sí,No,3000,Sí,Personal,No,3
59341,20,2026,7700,2800,5400,9700,Ninguna,BBVA,2000,2600,900,900,600,2400,Sí,No,500,No,Ninguno,No,0
17059,21,2023,3800,1400,6500,6500,Ambas,Ninguno,4900,1000,800,1800,200,3300,No,Sí,2000,No,Ninguno,No,1
63153,21,2024,90800,63400,16300,26800,Débito,BBVA,4800,2000,1200,500,1000,2000,No,Sí,1500,No,Ninguno,Sí,4
90373,21,2025,106000,60400,13600,22300,Ambas,BBVA,5300,2700,700,1600,2100,7800,Sí,Sí,26600,No,Ninguno,No,3
13123,21,2026,46600,24200,5200,11800,Débito,BBVA,3500,2000,700,3400,900,5400,Sí,Sí,5200,Sí,Ninguno,No,3
13909,22,2023,48000,35500,11500,13100,Débito,BanBajío,2500,1500,900,1200,2200,5500,Sí,Sí,3100,Sí,Ninguno,No,5
75800,22,2024,64500,19100,6600,19000,Ninguna,Santander,2300,1200,1100,2400,400,7900,Sí,No,1100,Sí,Ninguno,No,2
71580,22,2025,101700,14100,10000,27500,Ninguna,BanBajío,3600,900,1100,3500,1500,4400,No,Sí,12100,No,Ninguno,Sí,4
20161,22,2026,313700,156800,49900,56500,Ambas,Banorte,2700,500,500,700,900,4700,Sí,Sí,11600,No,Ninguno,No,1
39188,23,2023,83500,31500,11200,30700,Crédito,Banorte,3200,2500,400,1700,1200,3000,Sí,Sí,5000,No,Ninguno,No,1
25899,23,2024,69100,52200,28400,19300,Ninguna,Banorte,1600,2400,1900,1200,500,3400,Sí,Sí,17700,Sí,Tarjeta,No,1
25978,23,2025,141800,94900,28400,26300,Ambas,Banamex,2600,2000,500,2200,1300,2800,Sí,Sí,18200,Sí,Tarjeta,No,1
14565,23,2026,8400,7300,5200,2100,Ninguna,Ninguno,2500,1000,700,200,1600,5800,No,No,1300,Sí,Tarjeta,Sí,0
56476,24,2023,135100,68600,16200,46900,Ambas,HSBC,2700,700,1000,1000,1100,3500,No,No,8900,No,Ninguno,No,1
81965,24,2024,57900,77500,20800,8600,Ambas,Banamex,4600,3000,1000,1200,1100,2900,Sí,No,3300,Sí,Ninguno,No,2
46492,24,2025,15300,3100,3800,800,Ninguna,Banorte,3600,1700,600,2200,2100,1700,Sí,No,600,No,Ninguno,No,1
52816,24,2026,320200,56900,11400,49100,Ambas,HSBC,2200,1900,1600,1200,1300,3100,Sí,No,34500,Sí,Automotriz,No,3
43128,25,2023,198800,76500,20800,68600,Ambas,HSBC,2800,1600,900,2300,1300,2000,Sí,Sí,27100,Sí,Personal,No,3
73807,25,2024,59700,65500,6000,41600,Ambas,BBVA,3800,600,1300,600,1100,4700,Sí,Sí,33700,Sí,Ninguno,No,2
19088,25,2025,232600,46800,31900,79000,Ambas,BBVA,4100,900,500,1400,1400,4700,Sí,No,31800,No,Ninguno,No,2
70673,25,2026,38700,4300,12800,22100,Ambas,Santander,1800,1600,800,900,1900,5500,No,Sí,1200,No,Ninguno,No,1
17608,26,2023,1200,10900,4500,2100,Ninguna,Ninguno,3100,2000,1600,1200,600,3700,Sí,Sí,2700,No,Ninguno,No,2
88432,26,2024,66000,26900,18400,20100,Ambas,Ninguno,2900,700,1400,800,300,2100,No,Sí,27500,Sí,Ninguno,No,1
11649,26,2025,132400,47300,18700,18800,Ambas,HSBC,4600,600,600,3700,400,6100,No,No,13700,No,Ninguno,No,1
87110,26,2026,118700,45600,22600,25300,Ninguna,Santander,2200,3000,500,700,1200,4600,Sí,No,2500,Sí,Tarjeta,No,3
62866,27,2023,11300,9800,4500,2900,Ambas,Ninguno,3900,2300,500,1100,1000,4700,No,Sí,300,Sí,Personal,No,0
67256,27,2024,218900,81200,13200,72500,Débito,Santander,2500,800,1900,2400,2000,2100,No,No,18500,Sí,Tarjeta,No,3
43240,27,2025,74300,64900,26200,34600,Débito,Banamex,3900,700,1100,1100,2400,2800,No,No,12600,Sí,Ninguno,No,3
22857,27,2026,131500,12500,18800,42700,Débito,HSBC,2200,2100,800,900,500,3100,Sí,Sí,33300,No,Ninguno,No,1
58284,28,2023,268500,38500,33100,90900,Ambas,BBVA,3000,2900,900,1900,1700,2500,Sí,Sí,2800,Sí,Ninguno,No,1
18564,28,2024,231000,88000,21200,111300,Débito,Banorte,2500,1600,600,3300,900,5900,Sí,Sí,27100,Sí,Tarjeta,No,3
17113,28,2025,79100,57500,19700,27300,Ambas,Banamex,3400,1700,1400,700,1500,4600,Sí,Sí,10200,Sí,Ninguno,No,2
49218,28,2026,150400,14200,22000,26200,Débito,BBVA,2100,2500,600,200,400,6600,Sí,Sí,3000,No,Ninguno,Sí,2
92988,29,2023,40100,25500,9400,1200,Débito,Santander,3100,1800,1400,200,2300,2000,Sí,Sí,6700,No,Ninguno,No,4
89270,29,2024,11600,13000,3400,3600,Débito,Ninguno,2400,2500,1300,1500,2100,7400,No,No,600,No,Ninguno,Sí,0
98241,29,2025,104200,8200,11500,35600,Crédito,Ninguno,4900,1300,400,2300,1400,3200,Sí,No,8700,Sí,Tarjeta,No,1
37931,29,2026,44200,51300,9900,14300,Ambas,Banorte,2800,900,1000,2800,1000,4600,Sí,No,8900,Sí,Automotriz,Sí,4
87561,30,2023,4300,11600,4700,1400,Débito,BBVA,1800,1100,1900,3800,2600,2900,No,No,1500,No,Ninguno,No,3
36805,30,2024,31300,22300,9600,8500,Débito,Santander,3800,2600,1200,400,1200,7900,Sí,No,7300,No,Ninguno,No,1
55574,30,2025,81900,46800,15600,22200,Débito,BBVA,3200,2100,700,500,1000,2900,No,Sí,10400,Sí,Ninguno,No,2
29743,30,2026,18900,13800,7700,10500,Ambas,HSBC,2900,1400,1800,1600,800,4500,No,No,1800,Sí,Hipotecario,No,4
33359,31,2023,6800,3900,5000,3100,Ambas,Ninguno,2300,1800,1900,3800,400,6700,Sí,No,2600,No,Ninguno,No,0
67409,31,2024,12100,5000,4700,10200,Ninguna,BBVA,2600,900,600,2600,500,5100,Sí,No,100,Sí,Ninguno,Sí,1
30512,31,2025,93900,55100,19100,50400,Ambas,HSBC,1600,1300,900,1600,1800,2000,No,Sí,14000,No,Ninguno,Sí,4
59592,31,2026,41500,35500,13600,25300,Débito,Santander,3500,1600,1900,1000,1700,7300,No,No,1600,No,Ninguno,No,2
91213,32,2023,130800,97200,44600,56700,Ambas,HSBC,3100,1000,1100,900,1200,2600,No,Sí,33200,No,Ninguno,Sí,2
50323,32,2024,334400,144400,29700,73600,Débito,HSBC,2600,1500,500,2100,1500,4900,No,No,4600,No,Ninguno,No,1
72383,32,2025,3000,10900,4100,1100,Débito,Ninguno,2700,1200,700,1800,2700,6700,No,No,4900,Sí,Automotriz,No,0
39784,32,2026,66800,52700,17500,22100,Ambas,Santander,3900,1500,2000,1300,2300,8600,Sí,Sí,11500,No,Ninguno,No,2
69593,33,2023,3800,1400,4200,5600,Ninguna,Santander,3000,300,1000,3100,1300,6100,No,No,1900,No,Ninguno,No,0
13125,33,2024,9000,9600,4400,1400,Ninguna,Ninguno,1800,1000,1300,1800,1300,3800,Sí,No,2300,No,Ninguno,Sí,0
50017,33,2025,4300,9600,5000,1900,Ninguna,Santander,4300,600,1000,1300,2200,4400,No,Sí,4600,No,Ninguno,No,0
42050,33,2026,219500,107100,38000,98700,Débito,BBVA,3000,1100,1100,800,900,1500,Sí,Sí,29200,Sí,Tarjeta,Sí,1
53643,34,2023,15400,7000,3900,1500,Ninguna,Ninguno,3500,1400,700,1500,800,4500,Sí,No,3300,No,Ninguno,No,0
18181,34,2024,5100,1200,4200,9200,Débito,Ninguno,3500,1200,300,1000,1100,3500,Sí,No,2900,No,Ninguno,Sí,2
48607,34,2025,56000,22700,18800,24600,Ambas,BBVA,3300,2600,1000,1900,2000,2600,Sí,Sí,7500,Sí,Personal,No,2
31004,34,2026,161200,29100,23600,56500,Débito,Inbursa,3500,2500,600,400,700,5300,Sí,Sí,9900,No,Ninguno,No,3
53827,35,2023,188700,83400,11100,78600,Ambas,Banorte,1500,900,1600,1000,2600,4500,Sí,No,31200,No,Ninguno,Sí,3
30634,35,2024,195700,27500,8400,56700,Ninguna,Santander,4300,2000,900,1800,800,2900,No,Sí,10700,No,Ninguno,Sí,1
63676,35,2025,213200,58600,33900,28500,Débito,BanBajío,2800,2300,2300,1200,300,3600,No,Sí,4600,No,Ninguno,Sí,1
53953,35,2026,47100,18000,4900,16100,Débito,Banorte,3600,1400,900,1100,1100,7400,Sí,Sí,7300,No,Ninguno,No,1
70357,36,2023,91400,13300,11700,17100,Débito,BanBajío,4200,2300,1200,3900,1400,2500,Sí,Sí,2600,Sí,Tarjeta,No,1
41310,36,2024,96500,28900,11300,28100,Débito,Banamex,5100,800,500,2000,1800,2800,Sí,Sí,14300,Sí,Personal,No,4
31987,36,2025,259000,94300,32100,36300,Crédito,Banorte,5600,1800,1100,3000,1000,4900,Sí,No,18400,Sí,Tarjeta,No,1
64198,36,2026,99800,14200,19400,22100,Ambas,BBVA,3200,2400,700,2300,1300,2800,No,Sí,10700,Sí,Personal,No,2
28875,37,2023,6600,4600,5200,2200,Ninguna,Banorte,3100,1500,900,2100,1400,3900,No,No,1600,No,Ninguno,No,0
41462,37,2024,12100,6000,4800,3100,Crédito,Ninguno,4500,1000,1200,2800,1500,8200,Sí,No,600,Sí,Tarjeta,No,0
69096,37,2025,18800,23000,8300,22100,Ambas,HSBC,2100,1200,100,1200,1400,4600,No,Sí,1700,Sí,Ninguno,No,1
96345,37,2026,14200,1100,4800,2100,Débito,Banorte,4900,900,600,2400,800,2500,Sí,No,1200,No,Ninguno,No,1
30263,38,2023,103800,35400,16600,8100,Crédito,BBVA,3500,1200,1300,2500,1700,8100,Sí,No,7700,No,Ninguno,No,2
47943,38,2024,105600,47800,38300,62300,Ambas,HSBC,3300,1500,1200,1100,900,3700,No,Sí,37700,Sí,Tarjeta,No,2
57986,38,2025,94100,18200,10400,21400,Ambas,Santander,4600,1500,1700,600,2300,2400,No,Sí,6000,Sí,Automotriz,Sí,4
68033,38,2026,121900,96800,15900,6900,Débito,Santander,3600,1600,900,1300,500,7300,Sí,Sí,25600,No,Ninguno,No,3
42028,39,2023,9500,6300,4600,200,Ninguna,Ninguno,2500,1900,600,400,1300,5400,No,No,600,No,Ninguno,No,0
92152,39,2024,9700,9100,5000,4600,Ninguna,Ninguno,2000,1000,1700,1800,1600,3500,No,Sí,3600,Sí,Ninguno,No,1
95425,39,2025,92600,33200,11900,20200,Ambas,BanBajío,3100,600,400,1100,1200,5100,No,Sí,1900,Sí,Ninguno,No,5
32131,39,2026,59400,28300,4300,18300,Débito,BBVA,2100,2100,700,700,1000,2400,No,No,1500,Sí,Personal,No,3
75663,40,2023,33600,29000,6900,18300,Ambas,Banorte,1400,800,800,900,2200,4400,Sí,Sí,600,Sí,Ninguno,No,1
90369,40,2024,110000,80800,38600,33800,Débito,Santander,3700,600,1000,1400,1300,1800,Sí,Sí,5500,Sí,Automotriz,No,1
20078,40,2025,71300,19500,13300,11600,Débito,Santander,2500,1100,900,2700,1700,4100,Sí,Sí,10600,No,Ninguno,No,1
97462,40,2026,186600,48300,15900,35200,Débito,HSBC,3000,600,800,2500,2800,7000,Sí,Sí,15200,No,Ninguno,No,3
74945,41,2023,111400,15400,18500,35100,Ambas,BBVA,4800,900,600,1200,500,4700,Sí,Sí,24000,No,Ninguno,No,4
80646,41,2024,124800,54900,21100,38800,Ambas,BBVA,2700,1100,900,2300,1200,2600,Sí,No,8700,No,Ninguno,No,2
45767,41,2025,106100,36900,11100,14500,Débito,Ninguno,1800,3100,900,300,800,3900,Sí,Sí,7200,No,Ninguno,No,1
45926,41,2026,110100,67100,20300,55700,Ambas,Banorte,5400,3000,1100,1500,1400,4300,Sí,Sí,26700,Sí,Hipotecario,No,1
59094,42,2023,88100,31900,12900,42800,Débito,Banorte,2600,700,1000,1000,1700,5600,No,No,4600,Sí,Ninguno,Sí,3
14883,42,2024,115000,26600,38500,66500,Ninguna,HSBC,2100,1900,1000,4000,700,4400,Sí,No,22300,No,Ninguno,No,3
14778,42,2025,45100,10000,19800,48900,Débito,BBVA,4100,2500,300,2500,1000,4800,Sí,Sí,13800,Sí,Ninguno,No,1
64367,42,2026,95300,107300,11500,69000,Débito,BBVA,2900,1500,600,4000,1500,2200,Sí,No,7300,Sí,Ninguno,No,1
98335,43,2023,49600,13700,8700,8700,Ambas,Banorte,3300,2000,1300,3600,600,6800,Sí,Sí,7100,No,Ninguno,No,2
74677,43,2024,44500,14900,10500,14400,Crédito,BBVA,4900,1300,600,3000,600,6200,Sí,Sí,7900,Sí,Tarjeta,No,2
66903,43,2025,104100,26500,26400,53700,Ninguna,Banorte,2200,2100,500,1700,700,3500,Sí,No,18700,No,Ninguno,No,1
58058,43,2026,40000,34200,10100,18600,Ambas,Banamex,3900,1400,300,1200,300,6400,No,Sí,2800,No,Ninguno,No,5
71322,44,2023,64500,28500,23600,11800,Ambas,Santander,4500,2200,800,800,2200,4200,Sí,No,8900,No,Ninguno,No,1
61490,44,2024,179000,8900,20900,17900,Débito,BBVA,2900,1100,1500,300,1900,6600,Sí,Sí,8300,Sí,Tarjeta,Sí,4
72333,44,2025,85000,90500,19600,37800,Ambas,Santander,3700,2000,1000,400,1400,7900,Sí,Sí,4900,Sí,Tarjeta,No,5
19208,44,2026,63300,11000,5400,12300,Ambas,BBVA,3300,1500,500,800,2100,3100,Sí,Sí,9200,Sí,Personal,No,1
55529,45,2023,73400,15300,10200,11700,Ambas,Santander,4500,1200,800,1500,2500,3700,No,No,12000,Sí,Personal,No,2
34462,45,2024,176000,82600,22200,16200,Ambas,Santander,3200,1200,200,1200,2500,5500,Sí,Sí,22000,Sí,Ninguno,Sí,1
74990,45,2025,54700,30000,14600,9300,Débito,Ninguno,4600,2800,700,1200,1200,4100,No,No,3400,Sí,Personal,No,2
17460,45,2026,59400,29200,13700,8800,Débito,BBVA,2100,2900,500,400,1800,4100,No,Sí,14300,Sí,Tarjeta,No,2
34306,46,2023,71700,17100,6100,18100,Ambas,Banamex,3600,2100,300,100,1700,4700,No,Sí,5100,Sí,Hipotecario,Sí,1
53778,46,2024,89500,41700,8400,9700,Ambas,Banamex,2200,1000,800,2300,1300,5200,No,Sí,6000,Sí,Automotriz,Sí,2
91620,46,2025,18700,11200,3900,4700,Ambas,Ninguno,3200,1600,1100,2700,700,5300,No,No,2700,No,Ninguno,Sí,0
67956,46,2026,25200,9300,9200,19100,Débito,BBVA,2100,2000,1200,3400,700,5600,Sí,Sí,11700,Sí,Tarjeta,No,2
67641,47,2023,118500,18300,13500,37100,Débito,BBVA,2200,1800,1400,1000,900,3200,Sí,No,4000,No,Ninguno,No,4
56280,47,2024,77500,108200,32700,50200,Débito,HSBC,2300,3200,400,600,700,2600,No,Sí,23800,Sí,Ninguno,No,1
98517,47,2025,130500,77800,17300,30000,Ambas,HSBC,5500,500,1200,900,1900,5500,Sí,Sí,3400,Sí,Tarjeta,No,5
89282,47,2026,3900,5600,4500,6200,Débito,Ninguno,2100,2800,600,2200,1600,8500,No,No,2300,No,Ninguno,No,0
81412,48,2023,100400,47500,3500,17600,Débito,Banamex,2300,900,500,1100,1400,3900,Sí,No,14400,Sí,Tarjeta,No,3
44702,48,2024,6300,1300,4300,6400,Ninguna,Ninguno,2700,500,500,700,400,5000,No,No,1700,No,Ninguno,No,0
73990,48,2025,230100,69800,20200,58400,Ambas,Inbursa,3500,900,1200,3300,600,3800,Sí,Sí,31000,Sí,Ninguno,No,3
70398,48,2026,91500,60600,4100,27800,Ninguna,BanBajío,3000,1400,2000,2900,1000,7000,Sí,Sí,7900,No,Ninguno,No,1
79555,49,2023,21000,10900,5600,23300,Crédito,BBVA,2100,900,500,2100,1500,3700,Sí,Sí,3100,Sí,Personal,Sí,4
79822,49,2024,328800,51300,51000,92200,Ambas,BBVA,2000,1400,1200,1600,500,2800,Sí,Sí,12000,Sí,Personal,Sí,5
51080,49,2025,63000,11300,11500,26700,Débito,Ninguno,2100,1100,600,1000,900,6300,Sí,No,14600,No,Ninguno,No,2
